figure,panel,caption
main,A,"UK Biobank publications carrying each non-academic linkage, accumulated over time and dated by the publication's own year (log scale). Patent, trial and policy linkage is Dimensions' publication index, so it counts every artefact Dimensions knows of rather than only those in this project's pulls."
main,B,"Legal status of the patents citing UK Biobank research, by patent publication year; the number above each bar is that year's total. These are the 513 patents of this project's pull, which is what carries legal status; panel A's patent line counts PUBLICATIONS (513 of them, from a fuller index of 767 patents), so the two 513s are a coincidence, not the same quantity."
main,C,"Clinical trials citing UK Biobank research, by trial start year and study type. Both tails are binned: six trials start in or before 2014, and the 60 in the closing bin are registered but not yet under way."
main,D,Share of each year's publications with at least one collaborator in each non-academic sector.
main,E,"Altmetric Attention Score against substantive (news + policy) mentions, for the 5,601 publications with at least one of each. The two most-mentioned publications are named."
si_patents,A,"Research divisions (FOR 2020, top level) the patents are classified into."
si_patents,B,"Patents by publication year, split application against granted."
si_patents,C,Number of research divisions one patent spans.
si_patents,D,Research-division mix within each of the eight largest assignee countries.
si_patent_clusters,—,"RCDC macro-clusters (Louvain communities of the tag co-occurrence graph) against the four categories carrying the most patents in each. The matrix is block-diagonal — a category belongs to exactly one cluster — so it reads down the columns, not across the rows."
si_trials,A,"Trial lifecycle stage, by study type (nine registry statuses folded into five)."
si_trials,B,"Trials per ICD-10 chapter, placed anatomically; dot area is proportional to the trial count. Neoplasms and infectious disease are systemic and sit off the body. A trial counts once per chapter it touches."
si_trials,C,"RCDC disease categories, with cross-cutting research-area tags removed."
si_trials,D,Planned enrollment per trial (log scale).
si_trials,E,Where the trials are run and who runs them: fractional trial weight by country and organisation sector.
si_policy,A,"Policy documents citing UK Biobank research, by year and publisher origin."
si_policy,B,Publisher countries.
si_policy,C,Publishing institutions.
si_policy,D,Research divisions (FOR 2020) the documents are classified into.
si_policy,E,How many policy documents cite one publication (log count axis).
si_policy,F,The publications policy documents cite most often.
si_altmetric,A,Distribution of the Altmetric Attention Score over every scored publication.
si_altmetric,B,"Total news and policy mentions, by publication year (separate axes)."
si_altmetric,C,Share of each year's publications with at least one news / policy mention.
si_altmetric,D,"Attention against citation, for publications with both."
si_collaboration,A,"Collaborator organisation mentions, by sector."
si_collaboration,B,Publications with at least one collaborator in each sector.
si_collaboration,C,Share of each year's publications with a collaborator in each non-academic sector.
si_collaboration,D,"Publications with a company collaborator, UK against non-UK."
si_collaboration,E,The company collaborators themselves.
si_collaboration,F,Company-collaboration rate by research division (divisions with ≥100 publications).
